neighbor_moveinitial_temp,min_temp,cooling_rate,iterations_per_temp,nearest_neighbor_cost,optimized_cost,average_accepted_cost,accepted_moves,evaluated_candidates,acceptance_rate_percent,best_known_cost,cost_ratio_to_best,gap_percent,duration_ms
two_opt,5000.000,0.100,0.900,750,196629.579,196629.579,686347.792,15085,77250,19.528,175110.000,1.122892,12.289,47
two_opt,5000.000,0.100,0.900,1000,196629.579,196629.579,689127.063,19492,103000,18.924,175110.000,1.122892,12.289,62
two_opt,5000.000,0.100,0.900,1250,196629.579,196629.579,693322.130,23770,128750,18.462,175110.000,1.122892,12.289,77
two_opt,5000.000,0.100,0.900,1500,196629.579,196629.579,692594.263,28457,154500,18.419,175110.000,1.122892,12.289,92
two_opt,5000.000,0.100,0.925,250,196629.579,196481.482,665525.733,7186,34750,20.679,175110.000,1.122046,12.205,23
two_opt,5000.000,0.100,0.925,500,196629.579,196629.579,680396.405,13343,69500,19.199,175110.000,1.122892,12.289,41
two_opt,5000.000,0.100,0.925,750,196629.579,196629.579,686211.266,19582,104250,18.784,175110.000,1.122892,12.289,61
two_opt,5000.000,0.100,0.925,1000,196629.579,196629.579,685700.175,25683,139000,18.477,175110.000,1.122892,12.289,83
two_opt,5000.000,0.100,0.925,1250,196629.579,196629.579,693232.754,31627,173750,18.203,175110.000,1.122892,12.289,102
two_opt,5000.000,0.100,0.925,1500,196629.579,196629.579,695695.908,37648,208500,18.057,175110.000,1.122892,12.289,123
two_opt,5000.000,0.100,0.950,250,196629.579,196629.579,666809.681,10311,52750,19.547,175110.000,1.122892,12.289,35
two_opt,5000.000,0.100,0.950,500,196629.579,196629.579,686298.429,19533,105500,18.515,175110.000,1.122892,12.289,63
two_opt,5000.000,0.100,0.950,750,196629.579,196629.579,692553.778,28543,158250,18.037,175110.000,1.122892,12.289,92
two_opt,5000.000,0.100,0.950,1000,196629.579,196629.579,693940.710,37838,211000,17.933,175110.000,1.122892,12.289,124
two_opt,5000.000,0.100,0.950,1250,196629.579,196629.579,697176.001,46947,263750,17.800,175110.000,1.122892,12.289,156
two_opt,5000.000,0.100,0.950,1500,196629.579,196629.579,699583.959,56157,316500,17.743,175110.000,1.122892,12.289,186
two_opt,5000.000,0.100,0.975,250,196629.579,196629.579,687401.009,19850,107000,18.551,175110.000,1.122892,12.289,65
two_opt,5000.000,0.100,0.975,500,196629.579,196629.579,694373.760,38151,214000,17.828,175110.000,1.122892,12.289,126
two_opt,5000.000,0.100,0.975,750,196629.579,196629.579,698623.862,56689,321000,17.660,175110.000,1.122892,12.289,188
two_opt,5000.000,0.100,0.975,1000,196629.579,196629.579,702671.997,74767,428000,17.469,175110.000,1.122892,12.289,250
two_opt,5000.000,0.100,0.975,1250,196629.579,191981.208,703796.245,92976,535000,17.379,175110.000,1.096346,9.635,313
two_opt,5000.000,0.100,0.975,1500,196629.579,192468.949,706206.999,111682,642000,17.396,175110.000,1.099132,9.913,374
two_opt,5000.000,0.100,0.990,250,196629.579,196629.579,696370.294,47494,269250,17.639,175110.000,1.122892,12.289,157
two_opt,5000.000,0.100,0.990,500,196629.579,191875.617,701783.083,93243,538500,17.315,175110.000,1.095743,9.574,324
two_opt,5000.000,0.100,0.990,750,196629.579,191874.597,705049.843,138999,807750,17.208,175110.000,1.095738,9.574,470
two_opt,5000.000,0.100,0.990,1000,196629.579,189025.800,706292.557,184864,1077000,17.165,175110.000,1.079469,7.947,630
two_opt,5000.000,0.100,0.990,1250,196629.579,187321.830,706130.561,229393,1346250,17.039,175110.000,1.069738,6.974,790
two_opt,5000.000,0.100,0.990,1500,196629.579,187661.280,707197.946,276040,1615500,17.087,175110.000,1.071677,7.168,961
two_opt,5000.000,0.100,0.995,250,196629.579,192242.563,702418.907,93206,539750,17.268,175110.000,1.097839,9.784,316
two_opt,5000.000,0.100,0.995,500,196629.579,188382.285,705377.670,184784,1079500,17.118,175110.000,1.075794,7.579,636
two_opt,5000.000,0.100,0.995,750,196629.579,185244.338,706904.044,275685,1619250,17.025,175110.000,1.057874,5.787,959
two_opt,5000.000,0.100,0.995,1000,196629.579,184206.788,708674.849,367177,2159000,17.007,175110.000,1.051949,5.195,1284
two_opt,5000.000,0.100,0.995,1250,196629.579,185578.492,708217.926,459394,2698750,17.022,175110.000,1.059782,5.978,1589
two_opt,5000.000,0.100,0.995,1500,196629.579,183428.130,708258.445,550712,3238500,17.005,175110.000,1.047502,4.750,1923
two_opt,5000.000,0.010,0.900,250,196629.579,196629.579,641970.724,5565,31250,17.808,175110.000,1.122892,12.289,21
two_opt,5000.000,0.010,0.900,500,196629.579,196629.579,671484.390,10125,62500,16.200,175110.000,1.122892,12.289,38
two_opt,5000.000,0.010,0.900,750,196629.579,196629.579,675710.173,14874,93750,15.866,175110.000,1.122892,12.289,57
two_opt,5000.000,0.010,0.900,1000,196629.579,196629.579,685902.509,19379,125000,15.503,175110.000,1.122892,12.289,77
two_opt,5000.000,0.010,0.900,1250,196629.579,196629.579,689224.488,23944,156250,15.324,175110.000,1.122892,12.289,92
two_opt,5000.000,0.010,0.900,1500,196629.579,196629.579,692788.267,28545,187500,15.224,175110.000,1.122892,12.289,111
two_opt,5000.000,0.010,0.925,250,196629.579,196629.579,654937.047,7325,42250,17.337,175110.000,1.122892,12.289,27
two_opt,5000.000,0.010,0.925,500,196629.579,196629.579,675376.916,13612,84500,16.109,175110.000,1.122892,12.289,50
two_opt,5000.000,0.010,0.925,750,196629.579,196629.579,686525.150,19785,126750,15.609,175110.000,1.122892,12.289,76
two_opt,5000.000,0.010,0.925,1000,196629.579,196629.579,688856.902,25672,169000,15.191,175110.000,1.122892,12.289,99
two_opt,5000.000,0.010,0.925,1250,196629.579,196629.579,695906.124,31921,211250,15.111,175110.000,1.122892,12.289,125
two_opt,5000.000,0.010,0.925,1500,196629.579,196629.579,695882.540,37968,253500,14.978,175110.000,1.122892,12.289,151
two_opt,5000.000,0.010,0.950,250,196629.579,196629.579,668386.219,10310,64000,16.109,175110.000,1.122892,12.289,39
two_opt,5000.000,0.010,0.950,500,196629.579,196629.579,687108.382,19725,128000,15.410,175110.000,1.122892,12.289,77
two_opt,5000.000,0.010,0.950,750,196629.579,196629.579,690827.155,29131,192000,15.172,175110.000,1.122892,12.289,114
two_opt,5000.000,0.010,0.950,1000,196629.579,196629.579,696052.037,37906,256000,14.807,175110.000,1.122892,12.289,151
two_opt,5000.000,0.010,0.950,1250,196629.579,196629.579,697510.127,47412,320000,14.816,175110.000,1.122892,12.289,191
two_opt,5000.000,0.010,0.950,1500,196629.579,196629.579,700955.604,56260,384000,14.651,175110.000,1.122892,12.289,224
two_opt,5000.000,0.010,0.975,250,196629.579,196629.579,684756.932,19752,129750,15.223,175110.000,1.122892,12.289,77
two_opt,5000.000,0.010,0.975,500,196629.579,196629.579,695494.620,38499,259500,14.836,175110.000,1.122892,12.289,152
two_opt,5000.000,0.010,0.975,750,196629.579,196629.579,699276.474,56258,389250,14.453,175110.000,1.122892,12.289,237
two_opt,5000.000,0.010,0.975,1000,196629.579,194578.090,702438.323,74940,519000,14.439,175110.000,1.111176,11.118,302
two_opt,5000.000,0.010,0.975,1250,196629.579,189559.350,702153.253,92666,648750,14.284,175110.000,1.082516,8.252,381
two_opt,5000.000,0.010,0.975,1500,196629.579,188705.536,703725.180,110859,778500,14.240,175110.000,1.077640,7.764,456
two_opt,5000.000,0.010,0.990,250,196629.579,196629.579,698737.055,47792,326500,14.638,175110.000,1.122892,12.289,192
two_opt,5000.000,0.010,0.990,500,196629.579,190231.541,702071.290,93075,653000,14.253,175110.000,1.086355,8.635,381
two_opt,5000.000,0.010,0.990,750,196629.579,189619.343,704353.232,138921,979500,14.183,175110.000,1.082858,8.286,572
two_opt,5000.000,0.010,0.990,1000,196629.579,187635.598,706175.815,184337,1306000,14.115,175110.000,1.071530,7.153,784
two_opt,5000.000,0.010,0.990,1250,196629.579,185547.069,707545.990,230740,1632500,14.134,175110.000,1.059603,5.960,966
two_opt,5000.000,0.010,0.990,1500,196629.579,186006.816,706216.114,274948,1959000,14.035,175110.000,1.062228,6.223,1157
two_opt,5000.000,0.010,0.995,250,196629.579,192179.209,701325.854,93239,654500,14.246,175110.000,1.097477,9.748,383
two_opt,5000.000,0.010,0.995,500,196629.579,185868.156,705792.073,184828,1309000,14.120,175110.000,1.061437,6.144,781
two_opt,5000.000,0.010,0.995,750,196629.579,185546.694,707325.780,275690,1963500,14.041,175110.000,1.059601,5.960,1165
two_opt,5000.000,0.010,0.995,1000,196629.579,184020.247,707862.002,367410,2618000,14.034,175110.000,1.050884,5.088,1558
two_opt,5000.000,0.010,0.995,1250,196629.579,184945.520,707349.254,459800,3272500,14.050,175110.000,1.056168,5.617,1926
two_opt,5000.000,0.010,0.995,1500,196629.579,184051.375,707820.876,549902,3927000,14.003,175110.000,1.051061,5.106,2314
two_opt,5000.000,0.001,0.900,250,196629.579,196629.579,648649.133,5803,36750,15.790,175110.000,1.122892,12.289,23
two_opt,5000.000,0.001,0.900,500,196629.579,196629.579,669096.783,10392,73500,14.139,175110.000,1.122892,12.289,44
two_opt,5000.000,0.001,0.900,750,196629.579,196629.579,675942.098,15096,110250,13.693,175110.000,1.122892,12.289,67
two_opt,5000.000,0.001,0.900,1000,196629.579,196629.579,683302.525,19659,147000,13.373,175110.000,1.122892,12.289,87
two_opt,5000.000,0.001,0.900,1250,196629.579,196629.579,689393.963,24448,183750,13.305,175110.000,1.122892,12.289,116
two_opt,5000.000,0.001,0.900,1500,196629.579,196629.579,692843.680,28575,220500,12.959,175110.000,1.122892,12.289,131
two_opt,5000.000,0.001,0.925,250,196629.579,196629.579,650884.651,7326,49500,14.800,175110.000,1.122892,12.289,31
two_opt,5000.000,0.001,0.925,500,196629.579,196629.579,673604.806,13325,99000,13.460,175110.000,1.122892,12.289,58
two_opt,5000.000,0.001,0.925,750,196629.579,196629.579,684216.619,19938,148500,13.426,175110.000,1.122892,12.289,87
two_opt,5000.000,0.001,0.925,1000,196629.579,196629.579,690294.165,25782,198000,13.021,175110.000,1.122892,12.289,117
two_opt,5000.000,0.001,0.925,1250,196629.579,196629.579,689711.589,31582,247500,12.760,175110.000,1.122892,12.289,145
two_opt,5000.000,0.001,0.925,1500,196629.579,196629.579,695373.217,37795,297000,12.726,175110.000,1.122892,12.289,175
