neighbor_moveinitial_temp,min_temp,cooling_rate,iterations_per_temp,nearest_neighbor_cost,optimized_cost,average_accepted_cost,accepted_moves,evaluated_candidates,acceptance_rate_percent,best_known_cost,cost_ratio_to_best,gap_percent,duration_ms
two_opt,2000.000,0.000,0.995,750,62288.535,55590.996,132371.209,156305,2515500,6.214,54679.000,1.016679,1.668,341
two_opt,2000.000,0.000,0.995,1000,62288.535,55806.573,132322.962,209244,3354000,6.239,54679.000,1.020622,2.062,457
two_opt,2000.000,0.000,0.995,1250,62288.535,55463.398,132155.509,260877,4192500,6.222,54679.000,1.014346,1.435,571
two_opt,2000.000,0.000,0.995,1500,62288.535,54778.825,132397.878,311510,5031000,6.192,54679.000,1.001826,0.183,686
two_opt,5000.000,0.100,0.900,250,62288.535,59523.471,140643.696,4801,25750,18.645,54679.000,1.088598,8.860,3
two_opt,5000.000,0.100,0.900,500,62288.535,58473.791,142162.409,9311,51500,18.080,54679.000,1.069401,6.940,7
two_opt,5000.000,0.100,0.900,750,62288.535,58072.998,142676.673,13658,77250,17.680,54679.000,1.062071,6.207,10
two_opt,5000.000,0.100,0.900,1000,62288.535,58481.659,142773.081,18212,103000,17.682,54679.000,1.069545,6.955,13
two_opt,5000.000,0.100,0.900,1250,62288.535,57791.259,142697.384,22578,128750,17.536,54679.000,1.056919,5.692,17
two_opt,5000.000,0.100,0.900,1500,62288.535,57906.466,142844.007,27411,154500,17.742,54679.000,1.059026,5.903,21
two_opt,5000.000,0.100,0.925,250,62288.535,59134.694,139825.144,6188,34750,17.807,54679.000,1.081488,8.149,5
two_opt,5000.000,0.100,0.925,500,62288.535,58742.651,141784.212,12338,69500,17.753,54679.000,1.074318,7.432,9
two_opt,5000.000,0.100,0.925,750,62288.535,58573.923,142857.636,18443,104250,17.691,54679.000,1.071233,7.123,14
two_opt,5000.000,0.100,0.925,1000,62288.535,56699.009,142371.839,24384,139000,17.542,54679.000,1.036943,3.694,19
two_opt,5000.000,0.100,0.925,1250,62288.535,57953.540,142893.748,30469,173750,17.536,54679.000,1.059887,5.989,23
two_opt,5000.000,0.100,0.925,1500,62288.535,56454.189,142997.400,36782,208500,17.641,54679.000,1.032466,3.247,28
two_opt,5000.000,0.100,0.950,250,62288.535,58308.449,142317.743,9403,52750,17.826,54679.000,1.066377,6.638,7
two_opt,5000.000,0.100,0.950,500,62288.535,56526.499,143077.953,18620,105500,17.649,54679.000,1.033788,3.379,14
